"income","consumption"
9014,8016
9659,8798
9848,9184
10316,9755
10254,9113
11271,9837
11298,10337
12051,11135
11955,10632
12920,11144
13228,11650
13814,12586
13777,11643
14509,12750
15662,13608
16292,15068
17474,14369
18355,15944
19312,16758
19664,18140
20364,17212
20931,18221
22374,19217
22389,21025
22887,19812
23796,20901
24997,21984
26101,23781
26362,23068
28078,24028
29289,25496
30360,27056
30737,26244
32932,28610
35000,30593
37979,32709
37929,32130
39783,33027
41438,35077
42035,36761
42509,35314
43416,36924
44458,39002
45002,41099
46349,38815
47239,40221
48303,42486
48875,45090
49134,42795
50943,43955
52201,46665
53164,48792
52941,45938
54825,47553
55175,49119
57583,52063
56727,49095
59790,50481
